patent_id,citation_sequence,citation_document_number,citation_date,record_name,wipo_kind,citation_category
8816645,4,2003/0054230,2003-03-01,Al-Hallaj et al.,A1,cited by applicant
10574395,36,2010/0218037,2010-08-01,Swartz et al.,A1,cited by applicant
8695230,5,2010/0242549,2010-09-01,Hosoito et al.,A1,cited by examiner
9065874,54,2007/0291034,2007-12-01,Dones,A1,cited by applicant
9929721,339,2011/0031928,2011-02-01,Soar,A1,cited by applicant
11178412,15,2014/0327822,2014-11-01,Gish,A1,cited by applicant
8964650,74,2008/0232284,2008-09-01,Dalsgaard et al.,A1,cited by applicant
11386410,186,2009/0265241,2009-10-01,Bishop et al.,A1,cited by applicant
10368867,403,2010/0180711,2010-07-01,Kilibarda et al.,A1,cited by applicant
7628791,53,2008/0045947,2008-02-01,Johnson et al.,A1,cited by other
8951876,44,2004/0045499,2004-03-01,Langdo,A1,cited by applicant
7808313,5,2006/0119425,2006-06-01,Phillips et al.,A1,cited by other
10839075,22,2004/0148450,2004-07-01,Chen et al.,A1,cited by applicant
9760297,11,2005/0188246,2005-08-01,Emberty et al.,A1,cited by applicant
7675219,0,2004/0063064,2004-04-01,Feine,A1,cited by examiner
9827352,37,2003/0204168,2003-10-01,Bosma et al.,A1,cited by applicant
9626597,4,2012/0320181,2012-12-01,Hong et al.,A1,cited by applicant
9439022,4,2013/0216071,2013-08-01,Maher et al.,A1,cited by applicant
7439426,1,2006/0021488,2006-02-01,Fujiwara et al.,A1,cited by other
8867940,7,2012/0315058,2012-12-01,Shimizu et al.,A1,cited by examiner
11276559,621,2009/0280650,2009-11-01,Lubomirsky et al.,A1,cited by applicant
10931142,6,2014/0248802,2014-09-01,Hieda et al.,A1,cited by applicant
8543157,21,2001/0035829,2001-11-01,Yu et al.,A1,cited by applicant
9762417,3,2017/0078027,2017-03-01,Okabe,A1,cited by examiner
9746740,13,2007/0019434,2007-01-01,Lee,A1,cited by applicant
10692316,127,2011/0125315,2011-05-01,Handfield et al.,A1,cited by applicant
7703653,1,2006/0025809,2006-02-01,Shelton,A1,cited by examiner
9952885,67,2009/0235325,2009-09-01,Dimitrakos et al.,A1,cited by applicant
11373883,1,2001/0013161,2001-08-01,Kitano,A1,cited by examiner
9561174,1,2006/0217690,2006-09-01,Bastin et al.,A1,cited by applicant
11443643,17,2019/0329877,2019-10-01,Benson,A1,cited by examiner
11198713,24,2017/0240604,2017-08-01,Verdine et al.,A1,cited by applicant
D880458,1,2010/0056233,2010-03-01,Thiel,A1,cited by examiner
9888299,5,2015/0276431,2015-10-01,Ishida,A1,cited by examiner
11080690,18,2005/0171811,2005-08-01,Campbell et al.,A1,cited by applicant
11215098,0,2003/0070424,2003-04-01,Verdegan,A1,cited by examiner
10681410,24,2010/0154013,2010-06-01,Mas Ivars,A1,cited by examiner
8658167,10,2007/0154481,2007-07-01,Gelinas et al.,A1,cited by applicant
D666227,2,2006/0175326,2006-08-01,Kirkland et al.,A1,cited by other
10368787,29,2011/0208015,2011-08-01,Welch et al.,A1,cited by applicant
11395894,180,2009/0126739,2009-05-01,Ng et al.,A1,cited by applicant
9941414,66,2009/0001881,2009-01-01,Nakayama,A1,cited by applicant
11259007,111,2017/0182980,2017-06-01,Davies et al.,A1,cited by applicant
9112045,6,2010/0219392,2010-09-01,Awaya et al.,A1,cited by applicant
9951401,0,2003/0179846,2003-09-01,Murakami et al.,A1,cited by applicant
7931683,320,2008/0262607,2008-10-01,Fricke,A1,cited by other
10609138,19,2004/0057449,2004-03-01,Black,A1,cited by applicant
11055395,206,2013/0024239,2013-01-01,Baker,A1,cited by applicant
10262102,13,2008/0294403,2008-11-01,Zhu et al.,A1,cited by applicant
9554081,3,2011/0099195,2011-04-01,Patwardhan et al.,A1,cited by examiner
7465605,3,2007/0184969,2007-08-01,Dubois et al.,A1,cited by examiner
8370810,6,2008/0270760,2008-10-01,Oda,A1,cited by applicant
9238518,13,2011/0264465,2011-10-01,Lindsay,A1,cited by applicant
11200620,410,2006/0294199,2006-12-01,Bertholf,A1,cited by applicant
9029950,4,2005/0194647,2005-09-01,Tsai et al.,A1,cited by examiner
9386993,590,2010/0249796,2010-09-01,Nycz,A1,cited by applicant
10375473,152,2015/0032709,2015-01-01,Maloy et al.,A1,cited by applicant
11145836,2,2012/0168796,2012-07-01,Moon et al.,A1,cited by applicant
8922066,452,2013/0320773,2013-12-01,Schatz et al.,A1,cited by applicant
8913741,8,2010/0329447,2010-12-01,Akiyama et al.,A1,cited by examiner
11307335,6,2018/0307039,2018-10-01,Payne,A1,cited by examiner
10811596,17,2014/0217487,2014-08-01,Guo,A1,cited by applicant
9961608,17,2011/0273526,2011-11-01,Mehin et al.,A1,cited by applicant
9815976,30,2013/0274396,2013-10-01,Arendt et al.,A1,cited by applicant
7923915,2,2006/0158454,2006-07-01,Heynderickx et al.,A1,cited by examiner
11408699,10,2011/0271822,2011-11-01,Myr,A1,cited by applicant
8445949,1,2009/0108316,2009-04-01,Xiong et al.,A1,cited by applicant
10554937,53,2008/0052123,2008-02-01,Iliff,A1,cited by applicant
7965659,3,2007/0123284,2007-05-01,Schliwa-Bertling et al.,A1,cited by examiner
7237889,0,2003/0130374,2003-07-01,Smith et al.,A1,cited by examiner
10755451,3,2016/0097632,2016-04-01,Sumiya,A1,cited by examiner
10470771,217,2014/0034704,2014-02-01,Ingmanson et al.,A1,cited by applicant
11378651,6,2004/0203748,2004-10-01,Kappes et al.,A1,cited by applicant
10757574,152,2013/0099587,2013-04-01,Lou et al.,A1,cited by applicant
8111633,69,2003/0031175,2003-02-01,Hayashi et al.,A1,cited by other
9603985,125,2010/0187176,2010-07-01,Lopez et al.,A1,cited by applicant
10245065,212,2009/0299141,2009-12-01,Downey et al.,A1,cited by applicant
10965702,112,2009/0010259,2009-01-01,Sirotkin,A1,cited by applicant
9344161,50,2012/0039259,2012-02-01,Kish et al.,A1,cited by applicant
9259557,4,2004/0215109,2004-10-01,Pingleton et al.,A1,cited by applicant
11351717,3,2015/0192919,2015-07-01,Sketch,A1,cited by examiner
10733471,294,2014/0257942,2014-09-01,Nerayoff et al.,A1,cited by applicant
10009111,0,2010/0247106,2010-09-01,DiPoala,A1,cited by examiner
8027943,5,2006/0230061,2006-10-01,Sample,A1,cited by other
8851044,1,2007/0036667,2007-02-01,Sterk,A1,cited by examiner
7177520,4,2003/0131076,2003-07-01,Nelson et al.,A1,cited by examiner
8753815,24,2011/0065628,2011-03-01,Johnson et al.,A1,cited by applicant
D833613,28,2008/0200989,2008-08-01,Cachia,A1,cited by applicant
8632059,14,2005/0147539,2005-07-01,Laudamiel-Pellet et al.,A1,cited by applicant
9182596,304,2002/0149545,2002-10-01,Hanayama et al.,A1,cited by applicant
11013641,4,2003/0060789,2003-03-01,Shapira et al.,A1,cited by applicant
11071263,42,2008/0288117,2008-11-01,Nickerson,A1,cited by applicant
8747736,5,2005/0118344,2005-06-01,Pacetti,A1,cited by examiner
10047348,17,2009/0162909,2009-06-01,Campopiano et al.,A1,cited by applicant
8401998,4,2001/0039548,2001-11-01,Shinkai et al.,A1,cited by examiner
9635037,42,2005/0264415,2005-12-01,Katz,A1,cited by applicant
11375045,16,2010/0070496,2010-03-01,Ghosh,A1,cited by applicant
D666629,7,2012/0023436,2012-01-01,Brown et al.,A1,cited by examiner
10303937,74,2013/0004076,2013-01-01,Koo,A1,cited by examiner
10373838,0,2001/0023130,2001-09-01,Gilton,A1,cited by examiner
8844346,5,2002/0162389,2002-11-01,Yokota et al.,A1,cited by examiner
10863501,13,2016/0219512,2016-07-01,Asterjadhi,A1,cited by examiner
11076395,5,2009/0088148,2009-04-01,Chung,A1,cited by examiner
11035297,4,2011/0037276,2011-02-01,Hoffmann,A1,cited by examiner
7843813,21,2003/0174650,2003-09-01,Shankar et al.,A1,cited by other
9723673,29,2009/0284169,2009-11-01,Valois,A1,cited by applicant
10489403,7,2005/0149505,2005-07-01,Bossman,A1,cited by examiner
10079014,2447,2015/0172463,2015-06-01,Quart et al.,A1,cited by applicant
7426082,3,2002/0163733,2002-11-01,Takahashi,A1,cited by other
9147915,16,2006/0172183,2006-08-01,Chen et al.,A1,cited by applicant
7622162,2,2004/0058090,2004-03-01,Waldfried et al.,A1,cited by other
10591414,5,2004/0100634,2004-05-01,Bartholomew et al.,A1,cited by applicant
8560644,1,2005/0237962,2005-10-01,Upp et al.,A1,cited by examiner
7718354,91,2003/0190605,2003-10-01,Ecker et al.,A1,cited by other
7632880,8,2005/0064105,2005-03-01,Lai et al.,A1,cited by examiner
9661524,134,2009/0046667,2009-02-01,Pelletier et al.,A1,cited by applicant
10826335,12,2008/0148059,2008-06-01,Shapiro,A1,cited by applicant
10289312,7,2017/0255490,2017-09-01,Aberg,A1,cited by examiner
9414417,34,2010/0211575,2010-08-01,Collins et al.,A1,cited by applicant
10359749,0,2001/0030789,2001-10-01,Jiang et al.,A1,cited by applicant
9576317,40,2004/0030631,2004-02-01,Brown,A1,cited by examiner
9064859,9,2005/0263864,2005-12-01,Islam et al.,A1,cited by applicant
10792025,65,2003/0130683,2003-07-01,Andreas et al.,A1,cited by applicant
9608291,31,2013/0337318,2013-12-01,Fujii et al.,A1,cited by applicant
7801791,11,2003/0046205,2003-03-01,Brier et al.,A1,cited by other
9307926,265,2014/0039294,2014-02-01,Jiang,A1,cited by applicant
10087440,30,2004/0209354,2004-10-01,Mathies et al.,A1,cited by applicant
10249584,4,2011/0209899,2011-09-01,Hill,A1,cited by examiner
10320572,9,2016/0019098,2016-01-01,Cahill et al.,A1,cited by applicant
10543038,10,2008/0319350,2008-12-01,Wallace et al.,A1,cited by applicant
D914200,4,2017/0119969,2017-05-01,McCullough et al.,A1,cited by applicant
8837520,5,2004/0052273,2004-03-01,Karaoguz et al.,A1,cited by applicant
9177262,55,2013/0166480,2013-06-01,Popescu et al.,A1,cited by applicant
9593082,3,2003/0134838,2003-07-01,Bornemann et al.,A1,cited by applicant
10904342,30,2008/0165778,2008-07-01,Ertemalp,A1,cited by applicant
9561039,97,2009/0087276,2009-04-01,Rose,A1,cited by applicant
10707106,1228,2012/0315113,2012-12-01,Hiroki,A1,cited by applicant
11218433,34,2009/0070688,2009-03-01,Gyorfi et al.,A1,cited by applicant
9492471,20,2007/0032493,2007-02-01,Foley et al.,A1,cited by applicant
11156600,26,2010/0254975,2010-10-01,Hsu et al.,A1,cited by applicant
9525051,59,2011/0220891,2011-09-01,Fujii et al.,A1,cited by applicant
10553215,2335,2013/0289994,2013-10-01,Newman et al.,A1,cited by applicant
8574074,480,2004/0201629,2004-10-01,Bates et al.,A1,cited by examiner
9426224,16,2013/0151032,2013-06-01,Kraeling,A1,cited by examiner
8159504,4,2008/0158222,2008-07-01,Li et al.,A1,cited by examiner
8548925,9,2009/0063293,2009-03-01,Mirrashidi et al.,A1,cited by applicant
9912861,10,2016/0227113,2016-08-01,Horesh,A1,cited by examiner
10541333,305,2006/0013674,2006-01-01,Elliott et al.,A1,cited by applicant
10251644,31,2008/0185419,2008-08-01,Smith et al.,A1,cited by applicant
11285002,18,2002/0032481,2002-03-01,Gabbay,A1,cited by applicant
8226701,115,2003/0009212,2003-01-01,Kerr,A1,cited by other
11156717,0,2004/0019425,2004-01-01,Zorka,A1,cited by examiner
9800172,123,2009/0218884,2009-09-01,Soar,A1,cited by applicant
10319944,19,2014/0175397,2014-06-01,Lee,A1,cited by applicant
7850638,102,2005/0232972,2005-10-01,Odrich,A1,cited by other
11170322,1,2002/0072951,2002-06-01,Lee et al.,A1,cited by applicant
7833266,66,2005/0015108,2005-01-01,Williams et al.,A1,cited by other
8894462,2,2010/0080015,2010-04-01,Yang,A1,cited by examiner
11091480,1,2004/0127493,2004-07-01,Gao et al.,A1,cited by applicant
10870008,92,2006/0206151,2006-09-01,Lu,A1,cited by applicant
9558504,10,2004/0138947,2004-07-01,McGee et al.,A1,cited by applicant
10751019,10,2019/0026888,2019-01-01,Beveridge,A1,cited by examiner
9422793,3,2013/0017610,2013-01-01,Roberts et al.,A1,cited by examiner
8132110,77,2003/0009385,2003-01-01,Tucciarone et al.,A1,cited by other
11173307,128,2006/0064139,2006-03-01,Chung et al.,A1,cited by applicant
11049203,6,2008/0215500,2008-09-01,De La Motte,A1,cited by examiner
8180332,207,2001/0049677,2001-12-01,Talib et al.,A1,cited by other
9851595,3,2015/0092131,2015-04-01,Lee et al.,A1,cited by applicant
9294717,8,2012/0013705,2012-01-01,Taylor et al.,A1,cited by examiner
7678415,0,2003/0134420,2003-07-01,Lollo et al.,A1,cited by examiner
10880322,136,2012/0311703,2012-12-01,Yanovsky,A1,cited by applicant
10750952,15,2001/0044588,2001-11-01,Mault,A1,cited by applicant
10857105,0,2003/0073619,2003-04-01,Mahato et al.,A1,cited by applicant
9307904,24,2008/0088795,2008-04-01,Goldstein et al.,A1,cited by applicant
D901525,28,2014/0085487,2014-03-01,Park et al.,A1,cited by applicant
11276590,448,2008/0035608,2008-02-01,Thomas et al.,A1,cited by applicant
8918854,2,2008/0072063,2008-03-01,Takahashi et al.,A1,cited by examiner
8341195,12,2008/0228507,2008-09-01,Larue et al.,A1,cited by examiner
10714481,2,2011/0001186,2011-01-01,Seo,A1,cited by applicant
11132746,10,2002/0143676,2002-10-01,Kiron et al.,A1,cited by applicant
9430780,0,2001/0023436,2001-09-01,Srinivasan et al.,A1,cited by applicant
7952991,8,2007/0076587,2007-04-01,Kwon et al.,A1,cited by examiner
10143316,5,2003/0178545,2003-09-01,Ernst,A1,cited by applicant
8204494,16,2004/0198335,2004-10-01,Campen,A1,cited by other
10498652,93,2017/0214701,2017-07-01,Hasan,A1,cited by applicant
11304695,238,2006/0206100,2006-09-01,Eskridge et al.,A1,cited by applicant
9381528,10,2013/0062285,2013-03-01,Hoek et al.,A1,cited by applicant
9302260,177,2012/0263633,2012-10-01,Koplin et al.,A1,cited by applicant
11165826,42,2020/0228342,2020-07-01,Nixon et al.,A1,cited by applicant
11426189,6,2003/0036705,2003-02-01,Hare et al.,A1,cited by applicant
10408797,27,2010/0201222,2010-08-01,Adachi et al.,A1,cited by applicant
10496977,104,2011/0238473,2011-09-01,Sankolli et al.,A1,cited by applicant
11342792,131,2010/0171369,2010-07-01,Taylor et al.,A1,cited by applicant
10712715,10,2007/0261978,2007-11-01,Sanderson,A1,cited by examiner
11341236,68,2010/0281225,2010-11-01,Chen et al.,A1,cited by applicant
D579458,1,2004/0111507,2004-06-01,Villado et al.,A1,cited by examiner
9373906,1,2006/0232922,2006-10-01,Tong,A1,cited by examiner
RE48700,9,2002/0075844,2002-06-01,Hagen,A1,cited by applicant
8609082,8,2004/0249416,2004-12-01,Yun et al.,A1,cited by applicant
11399873,41,2006/0083603,2006-04-01,Jackson,A1,cited by applicant
10446130,15,2012/0118129,2012-05-01,Jang,A1,cited by examiner
9815830,4,2013/0345253,2013-12-01,Zhang et al.,A1,cited by applicant
8157748,698,2004/0202576,2004-10-01,Aceti,A1,cited by other
10880212,0,2010/0238932,2010-09-01,Kliger,A1,cited by examiner
10092693,14,2011/0098652,2011-04-01,Hasted et al.,A1,cited by applicant
10130295,2,2012/0010824,2012-01-01,Cales,A1,cited by applicant
9909414,8,2007/0235225,2007-10-01,Bittar,A1,cited by applicant
11403301,24,2009/0224867,2009-09-01,O'Shaughnessy et al.,A1,cited by applicant
7520439,5,2003/0213849,2003-11-01,Luu,A1,cited by examiner
9156477,36,2005/0055287,2005-03-01,Schmidtberg et al.,A1,cited by applicant
7361926,0,2005/0045876,2005-03-01,Fukui,A1,cited by examiner
9031974,5,2002/0114394,2002-08-01,Ma,A1,cited by applicant
10314565,48,2010/0249700,2010-09-01,Spivey,A1,cited by applicant
7500323,1,2002/0174568,2002-11-01,Neiley,A1,cited by other
10318768,27,2008/0115210,2008-05-01,Hirota et al.,A1,cited by applicant
9652415,67,2015/0113206,2015-04-01,Fitzpatrick et al.,A1,cited by applicant
9269552,2,2012/0032072,2012-02-01,Quarmby et al.,A1,cited by examiner
10740701,6,2015/0235133,2015-08-01,Aoki,A1,cited by examiner
10405200,120,2011/0195667,2011-08-01,Hassan et al.,A1,cited by applicant
9493840,0,2010/0196426,2010-08-01,Skog et al.,A1,cited by applicant
8258925,3,2004/0131130,2004-07-01,Shor et al.,A1,cited by other
11051573,43,2010/0095557,2010-04-01,Jarvis,A1,cited by applicant
11011693,58,2019/0252377,2019-08-01,Clarke et al.,A1,cited by applicant
RE42119,1,2004/0051929,2004-03-01,Sampsell et al.,A1,cited by other
8256647,1,2008/0198688,2008-08-01,Peng,A1,cited by other
9400596,139,2005/0168476,2005-08-01,Levene et al.,A1,cited by applicant
8887054,9,2005/0083548,2005-04-01,Suga et al.,A1,cited by applicant
9782609,1,2011/0189248,2011-08-01,Baldaro et al.,A1,cited by applicant
9474539,259,2005/0043806,2005-02-01,Cook et al.,A1,cited by applicant
D942475,14,2019/0279520,2019-09-01,Wilson,A1,cited by examiner
11273587,0,2006/0097421,2006-05-01,Terada,A1,cited by examiner
10906450,5,2018/0117961,2018-05-01,Ono,A1,cited by examiner
9955332,212,2007/0255848,2007-11-01,Sewall et al.,A1,cited by applicant
8861750,136,2004/0024490,2004-02-01,McLurkin et al.,A1,cited by applicant
10410277,43,2006/0102718,2006-05-01,Kajino et al.,A1,cited by applicant
10420070,3,2015/0223197,2015-08-01,Kim et al.,A1,cited by applicant
7907941,20,2005/0093702,2005-05-01,"Twitchell, Jr.",A1,cited by other
11155349,3,2015/0370251,2015-12-01,Siegel,A1,cited by examiner
10008886,315,2012/0056486,2012-03-01,Endo et al.,A1,cited by applicant
9317428,11,2014/0101404,2014-04-01,Bybell et al.,A1,cited by applicant
8376833,2,2011/0077071,2011-03-01,Decasa et al.,A1,cited by applicant
10095580,34,2011/0029711,2011-02-01,Dhuse et al.,A1,cited by applicant
7729438,24,2004/0047424,2004-03-01,Ramaswamy et al.,A1,cited by examiner
9897447,1,2006/0213266,2006-09-01,French et al.,A1,cited by applicant
11089192,55,2006/0069314,2006-03-01,Farr,A1,cited by applicant
8761585,2,2004/0210926,2004-10-01,Francis et al.,A1,cited by applicant
11319396,2,2011/0054069,2011-03-01,Chen,A1,cited by applicant
9217903,33,2010/0065844,2010-03-01,Tokunaga,A1,cited by applicant
8761931,33,2002/0108209,2002-08-01,Peterson,A1,cited by applicant
10971523,4,2015/0228803,2015-08-01,Koezuka,A1,cited by examiner
11430298,13,2010/0267445,2010-10-01,Gomez,A1,cited by examiner
10363131,16,2005/0137695,2005-06-01,Salahieh,A1,cited by examiner
11005194,30,2014/0161203,2014-06-01,Nammi et al.,A1,cited by applicant
9189534,17,2002/0099728,2002-07-01,Lees et al.,A1,cited by applicant
9129155,73,2002/0112095,2002-08-01,Ford et al.,A1,cited by applicant
9979386,53,2008/0166834,2008-07-01,Kim et al.,A1,cited by applicant
8845639,107,2012/0016368,2012-01-01,Bleich et al.,A1,cited by applicant
9964629,43,2003/0040273,2003-02-01,Seligsohn et al.,A1,cited by applicant
9111007,3,2009/0282343,2009-11-01,Catlin et al.,A1,cited by examiner
10463383,514,2013/0087597,2013-04-01,"Shelton, IV et al.",A1,cited by applicant
11445967,237,2012/0302906,2012-11-01,Felix et al.,A1,cited by applicant
7770214,1,2002/0184507,2002-12-01,Makower et al.,A1,cited by other
10351909,98,2009/0234136,2009-09-01,Lindsey et al.,A1,cited by applicant
8648790,1,2006/0192728,2006-08-01,Kim,A1,cited by applicant
10833948,99,2008/0095163,2008-04-01,Chen,A1,cited by applicant
9367517,14,2006/0164150,2006-07-01,Asano,A1,cited by applicant
RE42119,42,2006/0066935,2006-03-01,Cummings et al.,A1,cited by other
9086295,19,2001/0029425,2001-10-01,Myr,A1,cited by applicant
9758274,5,2014/0216954,2014-08-01,Law,A1,cited by examiner
10758229,1103,2018/0333155,2018-11-01,Hall et al.,A1,cited by applicant
10218435,5,2013/0056197,2013-03-01,Maida et al.,A1,cited by applicant
10583278,1,2003/0191497,2003-10-01,Cope,A1,cited by examiner
10459973,12,2011/0106587,2011-05-01,Lynch,A1,cited by examiner
9507483,104,2013/0073970,2013-03-01,Piantino et al.,A1,cited by examiner
10319307,233,2008/0036708,2008-02-01,Shirasaki,A1,cited by applicant
11425194,17,2009/0083390,2009-03-01,Abu-Ghazaleh et al.,A1,cited by applicant
10052386,366,2010/0034880,2010-02-01,Sintov et al.,A1,cited by applicant
8244073,0,2005/0164784,2005-07-01,Yamamoto et al.,A1,cited by other
10885208,18,2007/0067349,2007-03-01,Jhaveri et al.,A1,cited by applicant
10535791,3,2011/0132423,2011-06-01,Joge,A1,cited by examiner
8331333,0,2009/0109991,2009-04-01,Lurie et al.,A1,cited by examiner
7904137,1,2004/0236180,2004-11-01,Uchiyama et al.,A1,cited by other
10108852,40,2008/0221472,2008-09-01,Lee et al.,A1,cited by applicant
9334773,0,2011/0265551,2011-11-01,Hopka et al.,A1,cited by applicant
9255282,56,2010/0196575,2010-08-01,Sanchez et al.,A1,cited by applicant
8799115,55,2006/0074728,2006-04-01,Schweitzer et al.,A1,cited by applicant
10436700,26,2005/0181463,2005-08-01,Rao et al.,A1,cited by applicant
7360642,0,2006/0005936,2006-01-01,Breuer et al.,A1,cited by other
10205914,30,2014/0047143,2014-02-01,Bateman et al.,A1,cited by applicant
10769939,40,2002/0116615,2002-08-01,Nguyen et al.,A1,cited by applicant
9840934,0,2010/0107600,2010-05-01,Hillel,A1,cited by examiner
8062983,78,2007/0196011,2007-08-01,Cox et al.,A1,cited by other
11248554,57,2017/0218863,2017-08-01,Geckler,A1,cited by examiner
9039876,6,2011/0186588,2011-08-01,DeAngeli et al.,A1,cited by applicant
11067286,14,2016/0051078,2016-02-01,Jenkins,A1,cited by examiner
D900177,38,2014/0161602,2014-06-01,Schmidt et al.,A1,cited by applicant
9778104,14,2015/0345908,2015-12-01,Maryfield et al.,A1,cited by applicant
9208215,110,2010/0058468,2010-03-01,Green et al.,A1,cited by applicant
10667833,14,2017/0079680,2017-03-01,Bowman,A1,cited by applicant
D714813,34,2004/0227835,2004-11-01,Seki,A1,cited by applicant
9991580,49,2004/0169572,2004-09-01,Elmore et al.,A1,cited by applicant
8523898,221,2012/0202179,2012-08-01,Fedotov et al.,A1,cited by applicant
10431468,5,2018/0067403,2018-03-01,deVilliers,A1,cited by applicant
11390912,9,2002/0086441,2002-07-01,Baranov et al.,A1,cited by applicant
8922791,133,2007/0121177,2007-05-01,Silverbrook,A1,cited by applicant
10183407,38,2013/0081289,2013-04-01,Wain et al.,A1,cited by applicant
9717584,5,2003/0109931,2003-06-01,Geitz,A1,cited by applicant
9545459,57,2010/0249791,2010-09-01,Roche,A1,cited by applicant
10706465,7,2010/0153259,2010-06-01,Stanton,A1,cited by applicant
9064006,12,2008/0097951,2008-04-01,Gupta et al.,A1,cited by applicant
10435720,2,2016/0244730,2016-08-01,Yang,A1,cited by examiner
10461870,36,2013/0290502,2013-10-01,Bilobrov et al.,A1,cited by applicant
10403592,19,2012/0049366,2012-03-01,Zeng,A1,cited by examiner
9054119,4,2005/0035444,2005-02-01,Huang,A1,cited by examiner
8716903,214,2010/0141042,2010-06-01,Kesler et al.,A1,cited by applicant
8715325,12,2004/0127900,2004-07-01,Konieczynski et al.,A1,cited by applicant
9722515,3,2003/0065855,2003-04-01,Webster,A1,cited by applicant
8874080,8,2003/0187938,2003-10-01,Mousseau,A1,cited by applicant
11337778,21,2006/0026051,2006-02-01,Rose,A1,cited by applicant
8252890,6,2002/0127474,2002-09-01,Fleischer et al.,A1,cited by other
11351641,1,2005/0236069,2005-10-01,O'Brien,A1,cited by applicant
9757130,117,2005/0169974,2005-08-01,Tenerz et al.,A1,cited by applicant
9866457,12,2005/0180439,2005-08-01,Kondo et al.,A1,cited by applicant
10947025,129,2019/0367209,2019-12-01,Jobe,A1,cited by applicant
10812750,8,2014/0101688,2014-04-01,Kim,A1,cited by applicant
9358106,17,2011/0288634,2011-11-01,Tuval et al.,A1,cited by applicant
8114627,22,2007/0166791,2007-07-01,Chin et al.,A1,cited by other
D886435,3,2003/0121176,2003-07-01,Baruck,A1,cited by applicant
11187776,18,2014/0344946,2014-11-01,Ward et al.,A1,cited by applicant
11341387,40,2006/0247914,2006-11-01,Brener et al.,A1,cited by applicant
11387320,34,2008/0135949,2008-06-01,Lo et al.,A1,cited by applicant
10647545,11,2018/0044134,2018-02-01,Copeland,A1,cited by examiner
9597400,25,2008/0249028,2008-10-01,Luo,A1,cited by examiner
8769725,23,2012/0210501,2012-08-01,Lavin,A1,cited by examiner
9426905,54,2013/0228435,2013-09-01,"Whitt, III",A1,cited by applicant
9094007,61,2006/0244107,2006-11-01,Sugihara et al.,A1,cited by applicant
10909171,1145,2014/0095601,2014-04-01,Abuelsaad et al.,A1,cited by applicant
7269634,5,2004/0244041,2004-12-01,Collart,A1,cited by other
10524653,88,2014/0118693,2014-05-01,Matsuoka,A1,cited by examiner
7841950,1,2003/0004016,2003-01-01,Bonaventura,A1,cited by other
7749807,27,2003/0122237,2003-07-01,Saeki,A1,cited by other
11310341,293,2015/0033001,2015-01-01,Ivanov,A1,cited by applicant
10261105,21,2018/0038887,2018-02-01,Zhang et al.,A1,cited by applicant
10846090,16,2006/0294312,2006-12-01,Walmsley,A1,cited by applicant
8358189,1,2004/0086373,2004-05-01,"Page, Jr.",A1,cited by applicant
11265861,67,2011/0319068,2011-12-01,Kim et al.,A1,cited by applicant
10904254,58,2006/0230199,2006-10-01,Yu,A1,cited by applicant
10270878,423,2008/0215730,2008-09-01,Sundaram et al.,A1,cited by applicant
10946308,0,2013/0203849,2013-08-01,Ben Yehuda,A1,cited by examiner
11133106,109,2004/0243163,2004-12-01,Casiano et al.,A1,cited by applicant
8052745,15,2008/0243230,2008-10-01,Lootz et al.,A1,cited by other
8316704,6,2004/0173016,2004-09-01,Fayeulle et al.,A1,cited by examiner
10850024,147,2005/0238506,2005-10-01,Mescher et al.,A1,cited by applicant
9039597,56,2004/0034366,2004-02-01,van der Burg et al.,A1,cited by applicant
9853828,1,2004/0122930,2004-06-01,Pasternak,A1,cited by examiner
9838042,21,2016/0041887,2016-02-01,Davis et al.,A1,cited by applicant
11131016,7,2016/0221156,2016-08-01,Baik et al.,A1,cited by applicant
8266669,2,2003/0081609,2003-05-01,Breslow et al.,A1,cited by examiner
11364119,348,2015/0238312,2015-08-01,Lashinski,A1,cited by applicant
9296624,0,2010/0236724,2010-09-01,"Duesel, Jr. et al.",A1,cited by applicant
10343396,3,2009/0033695,2009-02-01,Burton,A1,cited by applicant
10073974,25,2017/0075684,2017-03-01,Forguson,A1,cited by examiner
10425738,15,2014/0064546,2014-03-01,Szczech,A1,cited by applicant
10010276,109,2014/0194711,2014-07-01,Al-Ali,A1,cited by applicant
8504896,0,2008/0016428,2008-01-01,Lee et al.,A1,cited by examiner
11383169,46,2012/0127284,2012-05-01,Bar-Zeev,A1,cited by examiner
11026959,7,2014/0249103,2014-09-01,Buck et al.,A1,cited by applicant
9283113,16,2011/0239785,2011-10-01,Ting,A1,cited by examiner
8565886,11,2007/0161919,2007-07-01,DiLorenzo,A1,cited by applicant
7769363,5,2005/0223034,2005-10-01,Kaneko et al.,A1,cited by examiner
10390670,31,2007/0294857,2007-12-01,Heinrichs,A1,cited by applicant
9562373,1,2004/0045328,2004-03-01,Vito,A1,cited by applicant
8793604,27,2006/0020903,2006-01-01,Wang et al.,A1,cited by applicant
8443247,4,2009/0222705,2009-09-01,Hekstra-Nowacka et al.,A1,cited by examiner
11423837,10,2018/0090071,2018-03-01,Ma,A1,cited by examiner
11423143,79,2019/0089721,2019-03-01,Pereira et al.,A1,cited by applicant
9177733,8,2007/0205988,2007-09-01,Gloyd et al.,A1,cited by applicant
7145636,1,2005/0007572,2005-01-01,George et al.,A1,cited by other
